ENTSTATION,EXTSTATION,Fare
Bethesda,Cleveland Park,2.6
Bethesda,Court House,4.05
Bethesda,Arlington Cemetery,4.1
Bethesda,Mt Vernon Sq 7th St-Convention Center,3.65
Bethesda,Pentagon,4.25
Bethesda,Branch Ave,6.0
Bethesda,Potomac Ave,4.35
Bethesda,Union Station,3.85
Bethesda,College Park-U of Md,5.35
Bethesda,Forest Glen,4.55
Bethesda,Anacostia,4.55
Bethesda,Vienna/Fairfax-GMU,6.0
Bethesda,Largo Town Center,6.0
Bethesda,U Street/African-Amer Civil War Memorial/Cardozo,3.65
Bethesda,Glenmont,5.35
Bethesda,Franconia-Springfield,6.0
Bethesda,L'Enfant Plaza,3.85
Bethesda,Navy Yard-Ballpark,4.2
Bethesda,Clarendon,4.15
Bethesda,Greenbelt,5.85
Bethesda,NoMa-Gallaudet U,3.9
Bethesda,McLean,5.45
Bethesda,Woodley Park-Zoo/Adams Morgan,2.8
Bethesda,Shaw-Howard U,3.65
Bethesda,Federal Triangle,3.65
Bethesda,Tysons Corner,5.65
Bethesda,Federal Center SW,3.95
Bethesda,New Carrollton,5.95
Bethesda,Friendship Heights,2.25
Bethesda,Huntington,5.95
Bethesda,King St-Old Town,5.65
Bethesda,Crystal City,4.55
Bethesda,White Flint,2.8
Bethesda,Takoma,4.2
Bethesda,Smithsonian,3.75
Bethesda,Shady Grove,4.45
Bethesda,Prince George's Plaza,4.85
Bethesda,Dunn Loring-Merrifield,5.75
Bethesda,Judiciary Square,3.7
Bethesda,Stadium-Armory,4.45
Bethesda,Gallery Pl-Chinatown,3.6
Bethesda,Brookland-CUA,4.05
Bethesda,Eastern Market,4.2
Bethesda,Van Ness-UDC,2.4
Bethesda,Capitol Heights,5.4
Bethesda,Rockville,3.7
Bethesda,Greensboro,5.8
Bethesda,Rhode Island Ave-Brentwood,4.0
Bethesda,Fort Totten,4.1
Bethesda,West Falls Church-VT/UVA,5.1
Bethesda,Columbia Heights,3.7
Bethesda,Suitland,5.7
Bethesda,Eisenhower Avenue,5.8
Bethesda,Foggy Bottom-GWU,3.65
Bethesda,Ballston-MU,4.35
Bethesda,Pentagon City,4.4
Bethesda,Metro Center,3.55
Bethesda,Morgan Boulevard,6.0
Bethesda,Wheaton,4.9
Bethesda,Virginia Square-GMU,4.25
Bethesda,Addison Road-Seat Pleasant,5.7
Bethesda,Tenleytown-AU,2.25
Bethesda,Deanwood,5.0
Bethesda,Medical Center,2.25
Bethesda,Georgia Ave-Petworth,3.8
Bethesda,Dupont Circle,3.2
Bethesda,McPherson Square,3.55
Bethesda,Landover,5.65
Bethesda,Spring Hill,5.95
Bethesda,Ronald Reagan Washington National Airport,4.7
Bethesda,Benning Road,5.0
Bethesda,Farragut West,3.6
Bethesda,Twinbrook,3.15
Bethesda,Wiehle-Reston East,6.0
Bethesda,Cheverly,5.25
Shady Grove,Silver Spring,6.0
Shady Grove,Rosslyn,6.0
Shady Grove,Farragut North,6.0
Shady Grove,Southern Avenue,6.0
Shady Grove,West Hyattsville,6.0
Shady Grove,Congress Heights,6.0
Shady Grove,Archives-Navy Memorial-Penn Quarter,6.0
Shady Grove,Waterfront,6.0
Shady Grove,Grosvenor-Strathmore,3.55
Shady Grove,Minnesota Ave,6.0
Shady Grove,Braddock Road,6.0
Shady Grove,East Falls Church,6.0
Shady Grove,Capitol South,6.0
Shady Grove,Naylor Road,6.0
Shady Grove,Van Dorn Street,6.0
Shady Grove,Cleveland Park,5.65
Shady Grove,Court House,6.0
Shady Grove,Arlington Cemetery,6.0
Shady Grove,Mt Vernon Sq 7th St-Convention Center,6.0
Shady Grove,Pentagon,6.0
Shady Grove,Branch Ave,6.0
Shady Grove,Potomac Ave,6.0
Shady Grove,Union Station,6.0
Shady Grove,College Park-U of Md,6.0
Shady Grove,Forest Glen,6.0
Shady Grove,Anacostia,6.0
Shady Grove,Vienna/Fairfax-GMU,6.0
Shady Grove,Largo Town Center,6.0
Shady Grove,U Street/African-Amer Civil War Memorial/Cardozo,6.0
Shady Grove,Glenmont,6.0
Shady Grove,Franconia-Springfield,6.0
Shady Grove,L'Enfant Plaza,6.0
Shady Grove,Navy Yard-Ballpark,6.0
Shady Grove,Clarendon,6.0
Shady Grove,Greenbelt,6.0
Shady Grove,NoMa-Gallaudet U,6.0
Shady Grove,McLean,6.0
Shady Grove,Woodley Park-Zoo/Adams Morgan,5.85
Shady Grove,Shaw-Howard U,6.0
Shady Grove,Federal Triangle,6.0
Shady Grove,Tysons Corner,6.0
Shady Grove,Federal Center SW,6.0
Shady Grove,New Carrollton,6.0
Shady Grove,Friendship Heights,4.95
Shady Grove,Huntington,6.0
Shady Grove,King St-Old Town,6.0
Shady Grove,Crystal City,6.0
Shady Grove,White Flint,3.15
Shady Grove,Takoma,6.0
Shady Grove,Smithsonian,6.0
Shady Grove,Bethesda,4.45
Shady Grove,Prince George's Plaza,6.0
Shady Grove,Dunn Loring-Merrifield,6.0
Shady Grove,Judiciary Square,6.0
Shady Grove,Stadium-Armory,6.0
Shady Grove,Gallery Pl-Chinatown,6.0
Shady Grove,Brookland-CUA,6.0
Shady Grove,Eastern Market,6.0
Shady Grove,Van Ness-UDC,5.45
Shady Grove,Capitol Heights,6.0
Shady Grove,Rockville,2.25
Shady Grove,Greensboro,6.0
Shady Grove,Rhode Island Ave-Brentwood,6.0
Shady Grove,Fort Totten,6.0
Shady Grove,West Falls Church-VT/UVA,6.0
Shady Grove,Columbia Heights,6.0
Shady Grove,Suitland,6.0
Shady Grove,Eisenhower Avenue,6.0
Shady Grove,Foggy Bottom-GWU,6.0
Shady Grove,Ballston-MU,6.0
Shady Grove,Pentagon City,6.0
Shady Grove,Metro Center,6.0
Shady Grove,Morgan Boulevard,6.0
Shady Grove,Wheaton,6.0
Shady Grove,Virginia Square-GMU,6.0
Shady Grove,Addison Road-Seat Pleasant,6.0
Shady Grove,Tenleytown-AU,5.2
Shady Grove,Deanwood,6.0
Shady Grove,Medical Center,4.2
Shady Grove,Georgia Ave-Petworth,6.0
Shady Grove,Dupont Circle,6.0
Shady Grove,McPherson Square,6.0
Shady Grove,Landover,6.0
Shady Grove,Spring Hill,6.0
Shady Grove,Ronald Reagan Washington National Airport,6.0
Shady Grove,Benning Road,6.0
Shady Grove,Farragut West,6.0
Shady Grove,Twinbrook,2.8
Shady Grove,Wiehle-Reston East,6.0
Shady Grove,Cheverly,6.0
Prince George's Plaza,Silver Spring,3.05
Prince George's Plaza,Rosslyn,4.2
Prince George's Plaza,Farragut North,3.7
Prince George's Plaza,Southern Avenue,4.75
Prince George's Plaza,West Hyattsville,2.25
Prince George's Plaza,Congress Heights,4.6
Prince George's Plaza,Archives-Navy Memorial-Penn Quarter,3.6
Prince George's Plaza,Waterfront,3.9
Prince George's Plaza,Grosvenor-Strathmore,5.55
Prince George's Plaza,Minnesota Ave,4.15
Prince George's Plaza,Braddock Road,5.55
Prince George's Plaza,East Falls Church,5.6
Prince George's Plaza,Capitol South,3.8
Prince George's Plaza,Naylor Road,4.85
Prince George's Plaza,Van Dorn Street,6.0
Prince George's Plaza,Cleveland Park,4.0
Prince George's Plaza,Court House,4.5
Prince George's Plaza,Arlington Cemetery,4.4
Prince George's Plaza,Mt Vernon Sq 7th St-Convention Center,3.35
Prince George's Plaza,Pentagon,4.35
Prince George's Plaza,Branch Ave,5.55
Prince George's Plaza,Potomac Ave,3.95
Prince George's Plaza,Union Station,3.3
Prince George's Plaza,College Park-U of Md,2.25
Prince George's Plaza,Forest Glen,3.5
Prince George's Plaza,Anacostia,4.25
Prince George's Plaza,Vienna/Fairfax-GMU,6.0
Prince George's Plaza,Largo Town Center,5.4
Prince George's Plaza,U Street/African-Amer Civil War Memorial/Cardozo,3.2
Prince George's Plaza,Glenmont,4.4
Prince George's Plaza,Franconia-Springfield,6.0
Prince George's Plaza,L'Enfant Plaza,3.75
Prince George's Plaza,Navy Yard-Ballpark,3.95
Prince George's Plaza,Clarendon,4.65
Prince George's Plaza,Greenbelt,2.65
Prince George's Plaza,NoMa-Gallaudet U,3.1
Prince George's Plaza,McLean,6.0
Prince George's Plaza,Woodley Park-Zoo/Adams Morgan,3.9
Prince George's Plaza,Shaw-Howard U,3.25
Prince George's Plaza,Federal Triangle,3.65
Prince George's Plaza,Tysons Corner,6.0
Prince George's Plaza,Federal Center SW,3.75
Prince George's Plaza,New Carrollton,4.95
Prince George's Plaza,Friendship Heights,4.55
Prince George's Plaza,Huntington,6.0
Prince George's Plaza,King St-Old Town,5.7
Prince George's Plaza,Crystal City,4.6
Prince George's Plaza,White Flint,5.95
Prince George's Plaza,Takoma,2.65
Prince George's Plaza,Smithsonian,3.75
Prince George's Plaza,Bethesda,4.85
Prince George's Plaza,Shady Grove,6.0
Prince George's Plaza,Dunn Loring-Merrifield,6.0
Prince George's Plaza,Judiciary Square,3.45
Prince George's Plaza,Stadium-Armory,4.0
Prince George's Plaza,Gallery Pl-Chinatown,3.5
Prince George's Plaza,Brookland-CUA,2.5
Prince George's Plaza,Eastern Market,3.85
Prince George's Plaza,Van Ness-UDC,4.1
Prince George's Plaza,Capitol Heights,4.6
Prince George's Plaza,Rockville,6.0
Prince George's Plaza,Greensboro,6.0
Prince George's Plaza,Rhode Island Ave-Brentwood,2.75
Prince George's Plaza,Fort Totten,2.25
Prince George's Plaza,West Falls Church-VT/UVA,6.0
Prince George's Plaza,Columbia Heights,3.0
Prince George's Plaza,Suitland,5.1
Prince George's Plaza,Eisenhower Avenue,5.9
Prince George's Plaza,Foggy Bottom-GWU,3.9
Prince George's Plaza,Ballston-MU,4.95
Prince George's Plaza,Pentagon City,4.55
Prince George's Plaza,Metro Center,3.6
Prince George's Plaza,Morgan Boulevard,5.15
Prince George's Plaza,Wheaton,3.95
Prince George's Plaza,Virginia Square-GMU,4.8
Prince George's Plaza,Addison Road-Seat Pleasant,4.85
Prince George's Plaza,Tenleytown-AU,4.4
Prince George's Plaza,Deanwood,4.2
Prince George's Plaza,Medical Center,5.05
Prince George's Plaza,Georgia Ave-Petworth,2.75
Prince George's Plaza,Dupont Circle,3.75
Prince George's Plaza,McPherson Square,3.65
Prince George's Plaza,Landover,4.65
Prince George's Plaza,Spring Hill,6.0
Prince George's Plaza,Ronald Reagan Washington National Airport,4.7
Prince George's Plaza,Benning Road,4.3
Prince George's Plaza,Farragut West,3.75
Prince George's Plaza,Twinbrook,6.0
Prince George's Plaza,Wiehle-Reston East,6.0
Prince George's Plaza,Cheverly,4.35
Dunn Loring-Merrifield,Silver Spring,6.0
Dunn Loring-Merrifield,Rosslyn,4.1
Dunn Loring-Merrifield,Farragut North,4.85
Dunn Loring-Merrifield,Southern Avenue,6.0
Dunn Loring-Merrifield,West Hyattsville,6.0
Dunn Loring-Merrifield,Congress Heights,5.9
Dunn Loring-Merrifield,Archives-Navy Memorial-Penn Quarter,4.95
Dunn Loring-Merrifield,Waterfront,5.2
Dunn Loring-Merrifield,Grosvenor-Strathmore,6.0
Dunn Loring-Merrifield,Minnesota Ave,6.0
Dunn Loring-Merrifield,Braddock Road,5.45
Dunn Loring-Merrifield,East Falls Church,2.6
Dunn Loring-Merrifield,Capitol South,5.3
Dunn Loring-Merrifield,Naylor Road,6.0
Dunn Loring-Merrifield,Van Dorn Street,5.7
Dunn Loring-Merrifield,Cleveland Park,5.15
Dunn Loring-Merrifield,Court House,3.8
Dunn Loring-Merrifield,Arlington Cemetery,4.3
Dunn Loring-Merrifield,Mt Vernon Sq 7th St-Convention Center,5.0
Dunn Loring-Merrifield,Pentagon,4.55
Dunn Loring-Merrifield,Branch Ave,6.0
Dunn Loring-Merrifield,Potomac Ave,5.6
Dunn Loring-Merrifield,Union Station,5.15
Dunn Loring-Merrifield,College Park-U of Md,6.0
Dunn Loring-Merrifield,Forest Glen,6.0
Dunn Loring-Merrifield,Anacostia,5.6
Dunn Loring-Merrifield,Vienna/Fairfax-GMU,2.25
Dunn Loring-Merrifield,Largo Town Center,6.0
Dunn Loring-Merrifield,U Street/African-Amer Civil War Memorial/Cardozo,5.1
Dunn Loring-Merrifield,Glenmont,6.0
Dunn Loring-Merrifield,Franconia-Springfield,6.0
Dunn Loring-Merrifield,L'Enfant Plaza,5.05
Dunn Loring-Merrifield,Navy Yard-Ballpark,5.35
Dunn Loring-Merrifield,Clarendon,3.65
Dunn Loring-Merrifield,Greenbelt,6.0
Dunn Loring-Merrifield,NoMa-Gallaudet U,5.3
Dunn Loring-Merrifield,McLean,3.25
Dunn Loring-Merrifield,Woodley Park-Zoo/Adams Morgan,5.05
Dunn Loring-Merrifield,Shaw-Howard U,5.1
Dunn Loring-Merrifield,Federal Triangle,4.85
Dunn Loring-Merrifield,Tysons Corner,3.3
Dunn Loring-Merrifield,Federal Center SW,5.15
Dunn Loring-Merrifield,New Carrollton,6.0
Dunn Loring-Merrifield,Friendship Heights,5.45
Dunn Loring-Merrifield,Huntington,5.65
Dunn Loring-Merrifield,King St-Old Town,5.5
Dunn Loring-Merrifield,Crystal City,4.8
Dunn Loring-Merrifield,White Flint,6.0
Dunn Loring-Merrifield,Takoma,6.0
Dunn Loring-Merrifield,Smithsonian,4.9
Dunn Loring-Merrifield,Bethesda,5.75
Dunn Loring-Merrifield,Shady Grove,6.0
Dunn Loring-Merrifield,Prince George's Plaza,6.0
Dunn Loring-Merrifield,Judiciary Square,5.0
Dunn Loring-Merrifield,Stadium-Armory,5.8
Dunn Loring-Merrifield,Gallery Pl-Chinatown,4.9
Dunn Loring-Merrifield,Brookland-CUA,5.7
Dunn Loring-Merrifield,Eastern Market,5.45
Dunn Loring-Merrifield,Van Ness-UDC,5.25
Dunn Loring-Merrifield,Capitol Heights,6.0
Dunn Loring-Merrifield,Rockville,6.0
Dunn Loring-Merrifield,Greensboro,3.4
Dunn Loring-Merrifield,Rhode Island Ave-Brentwood,5.55
Dunn Loring-Merrifield,Fort Totten,5.9
Dunn Loring-Merrifield,West Falls Church-VT/UVA,2.25
Dunn Loring-Merrifield,Columbia Heights,5.25
Dunn Loring-Merrifield,Suitland,6.0
Dunn Loring-Merrifield,Eisenhower Avenue,5.6
Dunn Loring-Merrifield,Foggy Bottom-GWU,4.45
Dunn Loring-Merrifield,Ballston-MU,3.4
Dunn Loring-Merrifield,Pentagon City,4.6
Dunn Loring-Merrifield,Metro Center,4.8
Dunn Loring-Merrifield,Morgan Boulevard,6.0
Dunn Loring-Merrifield,Wheaton,6.0
Dunn Loring-Merrifield,Virginia Square-GMU,3.55
Dunn Loring-Merrifield,Addison Road-Seat Pleasant,6.0
Dunn Loring-Merrifield,Tenleytown-AU,5.3
Dunn Loring-Merrifield,Deanwood,6.0
Dunn Loring-Merrifield,Medical Center,6.0
Dunn Loring-Merrifield,Georgia Ave-Petworth,5.45
Dunn Loring-Merrifield,Dupont Circle,4.9
Dunn Loring-Merrifield,McPherson Square,4.7
Dunn Loring-Merrifield,Landover,6.0
Dunn Loring-Merrifield,Spring Hill,3.6
Dunn Loring-Merrifield,Ronald Reagan Washington National Airport,4.95
Dunn Loring-Merrifield,Benning Road,6.0
Dunn Loring-Merrifield,Farragut West,4.6
Dunn Loring-Merrifield,Twinbrook,6.0
Dunn Loring-Merrifield,Wiehle-Reston East,5.05
Dunn Loring-Merrifield,Cheverly,6.0
Judiciary Square,Silver Spring,3.6
Judiciary Square,Rosslyn,2.3
Judiciary Square,Farragut North,2.25
Judiciary Square,Southern Avenue,3.0
Judiciary Square,West Hyattsville,3.15
Judiciary Square,Congress Heights,2.75
Judiciary Square,Archives-Navy Memorial-Penn Quarter,2.25
Judiciary Square,Waterfront,2.25
Judiciary Square,Grosvenor-Strathmore,4.65
Judiciary Square,Minnesota Ave,2.9
Judiciary Square,Braddock Road,3.6
Judiciary Square,East Falls Church,3.8
Judiciary Square,Capitol South,2.25
Judiciary Square,Naylor Road,3.2
Judiciary Square,Van Dorn Street,4.7
Judiciary Square,Cleveland Park,2.45
Judiciary Square,Court House,2.6
Judiciary Square,Arlington Cemetery,2.4
Judiciary Square,Mt Vernon Sq 7th St-Convention Center,2.25
Judiciary Square,Pentagon,2.3
Judiciary Square,Branch Ave,4.1
Judiciary Square,Potomac Ave,2.25
Judiciary Square,Union Station,2.25
Judiciary Square,College Park-U of Md,4.0
Judiciary Square,Forest Glen,4.1
Judiciary Square,Anacostia,2.3
Judiciary Square,Vienna/Fairfax-GMU,5.7
Judiciary Square,Largo Town Center,4.55
Judiciary Square,U Street/African-Amer Civil War Memorial/Cardozo,2.25
Judiciary Square,Glenmont,5.05
Judiciary Square,Franconia-Springfield,5.65
Judiciary Square,L'Enfant Plaza,2.25
Judiciary Square,Navy Yard-Ballpark,2.25
Judiciary Square,Clarendon,2.8
Judiciary Square,Greenbelt,4.65
Judiciary Square,NoMa-Gallaudet U,2.25
Judiciary Square,McLean,4.9
Judiciary Square,Woodley Park-Zoo/Adams Morgan,2.25
Judiciary Square,Shaw-Howard U,2.25
Judiciary Square,Federal Triangle,2.25
Judiciary Square,Tysons Corner,5.1
Judiciary Square,Federal Center SW,2.25
Judiciary Square,New Carrollton,4.4
Judiciary Square,Friendship Heights,3.25
Judiciary Square,Huntington,4.1
Judiciary Square,King St-Old Town,3.8
Judiciary Square,Crystal City,2.6
Judiciary Square,White Flint,5.05
Judiciary Square,Takoma,3.25
Judiciary Square,Smithsonian,2.25
Judiciary Square,Bethesda,3.7
Judiciary Square,Shady Grove,6.0
Judiciary Square,Prince George's Plaza,3.45
Judiciary Square,Dunn Loring-Merrifield,5.0
Judiciary Square,Stadium-Armory,2.3
Judiciary Square,Gallery Pl-Chinatown,2.25
Judiciary Square,Brookland-CUA,2.25
Judiciary Square,Eastern Market,2.25
Judiciary Square,Van Ness-UDC,2.65
Judiciary Square,Capitol Heights,3.5
Judiciary Square,Rockville,5.9
Judiciary Square,Greensboro,5.3
Judiciary Square,Rhode Island Ave-Brentwood,2.25
Judiciary Square,Fort Totten,2.65
Judiciary Square,West Falls Church-VT/UVA,4.35
Judiciary Square,Columbia Heights,2.25
Judiciary Square,Suitland,3.6
Judiciary Square,Eisenhower Avenue,3.95
Judiciary Square,Foggy Bottom-GWU,2.25
Judiciary Square,Ballston-MU,3.1
Judiciary Square,Pentagon City,2.5
Judiciary Square,Metro Center,2.25
Judiciary Square,Morgan Boulevard,4.2
Judiciary Square,Wheaton,4.55
Judiciary Square,Virginia Square-GMU,2.9
Judiciary Square,Addison Road-Seat Pleasant,3.75
Judiciary Square,Tenleytown-AU,3.0
Judiciary Square,Deanwood,3.15
Judiciary Square,Medical Center,4.0
Judiciary Square,Georgia Ave-Petworth,2.35
Judiciary Square,Dupont Circle,2.25
Judiciary Square,McPherson Square,2.25
Judiciary Square,Landover,4.0
Judiciary Square,Spring Hill,5.45
Judiciary Square,Ronald Reagan Washington National Airport,2.7
Judiciary Square,Benning Road,3.05
Judiciary Square,Farragut West,2.25
Judiciary Square,Twinbrook,5.35
Judiciary Square,Wiehle-Reston East,6.0
Judiciary Square,Cheverly,3.5
Stadium-Armory,Silver Spring,4.35
Stadium-Armory,Rosslyn,3.2
Stadium-Armory,Farragut North,2.6
Stadium-Armory,Southern Avenue,3.05
Stadium-Armory,West Hyattsville,3.7
Stadium-Armory,Congress Heights,2.85
Stadium-Armory,Archives-Navy Memorial-Penn Quarter,2.25
Stadium-Armory,Waterfront,2.25
Stadium-Armory,Grosvenor-Strathmore,5.35
Stadium-Armory,Minnesota Ave,2.25
Stadium-Armory,Braddock Road,3.9
Stadium-Armory,East Falls Church,4.6
Stadium-Armory,Capitol South,2.25
Stadium-Armory,Naylor Road,3.15
Stadium-Armory,Van Dorn Street,5.05
Stadium-Armory,Cleveland Park,3.3
Stadium-Armory,Court House,3.45
Stadium-Armory,Arlington Cemetery,3.05
Stadium-Armory,Mt Vernon Sq 7th St-Convention Center,2.4
Stadium-Armory,Pentagon,2.8
Stadium-Armory,Branch Ave,4.05
Stadium-Armory,Potomac Ave,2.25
Stadium-Armory,Union Station,2.35
Stadium-Armory,College Park-U of Md,4.45
Stadium-Armory,Forest Glen,4.8
Stadium-Armory,Anacostia,2.45
Stadium-Armory,Vienna/Fairfax-GMU,6.0
Stadium-Armory,Largo Town Center,3.7
Stadium-Armory,U Street/African-Amer Civil War Memorial/Cardozo,2.65
Stadium-Armory,Glenmont,5.75
Stadium-Armory,Franconia-Springfield,6.0
Stadium-Armory,L'Enfant Plaza,2.25
Stadium-Armory,Navy Yard-Ballpark,2.25
Stadium-Armory,Clarendon,3.6
Stadium-Armory,Greenbelt,5.15
Stadium-Armory,NoMa-Gallaudet U,2.45
Stadium-Armory,McLean,5.7
Stadium-Armory,Woodley Park-Zoo/Adams Morgan,3.1
Stadium-Armory,Shaw-Howard U,2.55
Stadium-Armory,Federal Triangle,2.3
Stadium-Armory,Tysons Corner,5.9
Stadium-Armory,Federal Center SW,2.25
Stadium-Armory,New Carrollton,3.6
Stadium-Armory,Friendship Heights,4.0
Stadium-Armory,Huntington,4.4
Stadium-Armory,King St-Old Town,4.05
Stadium-Armory,Crystal City,3.05
Stadium-Armory,White Flint,5.75
Stadium-Armory,Takoma,3.95
Stadium-Armory,Smithsonian,2.25
Stadium-Armory,Bethesda,4.45
Stadium-Armory,Shady Grove,6.0
Stadium-Armory,Prince George's Plaza,4.0
Stadium-Armory,Dunn Loring-Merrifield,5.8
Stadium-Armory,Judiciary Square,2.3
Stadium-Armory,Gallery Pl-Chinatown,2.3
Stadium-Armory,Brookland-CUA,3.0
Stadium-Armory,Eastern Market,2.25
Stadium-Armory,Van Ness-UDC,3.5
Stadium-Armory,Capitol Heights,2.5
Stadium-Armory,Rockville,6.0
Stadium-Armory,Greensboro,6.0
Stadium-Armory,Rhode Island Ave-Brentwood,2.75
Stadium-Armory,Fort Totten,3.4
Stadium-Armory,West Falls Church-VT/UVA,5.15
Stadium-Armory,Columbia Heights,2.95
Stadium-Armory,Suitland,3.55
Stadium-Armory,Eisenhower Avenue,4.25
Stadium-Armory,Foggy Bottom-GWU,2.8
Stadium-Armory,Ballston-MU,3.9
Stadium-Armory,Pentagon City,3.0
Stadium-Armory,Metro Center,2.4
Stadium-Armory,Morgan Boulevard,3.3
Stadium-Armory,Wheaton,5.3
Stadium-Armory,Virginia Square-GMU,3.75
Stadium-Armory,Addison Road-Seat Pleasant,2.8
Stadium-Armory,Tenleytown-AU,3.8
Stadium-Armory,Deanwood,2.25
Stadium-Armory,Medical Center,4.75
Stadium-Armory,Georgia Ave-Petworth,3.1
Stadium-Armory,Dupont Circle,2.75
Stadium-Armory,McPherson Square,2.5
Stadium-Armory,Landover,3.15
Stadium-Armory,Spring Hill,6.0
Stadium-Armory,Ronald Reagan Washington National Airport,3.1
Stadium-Armory,Benning Road,2.25
Stadium-Armory,Farragut West,2.65
Stadium-Armory,Twinbrook,6.0
Stadium-Armory,Wiehle-Reston East,6.0
Stadium-Armory,Cheverly,2.6
Gallery Pl-Chinatown,Silver Spring,3.65
Gallery Pl-Chinatown,Rosslyn,2.25
Gallery Pl-Chinatown,Farragut North,2.25
Gallery Pl-Chinatown,Southern Avenue,3.0
Gallery Pl-Chinatown,West Hyattsville,3.2
Gallery Pl-Chinatown,Congress Heights,2.7
Gallery Pl-Chinatown,Archives-Navy Memorial-Penn Quarter,2.25
Gallery Pl-Chinatown,Waterfront,2.25
Gallery Pl-Chinatown,Grosvenor-Strathmore,4.55
Gallery Pl-Chinatown,Minnesota Ave,2.85
Gallery Pl-Chinatown,Braddock Road,3.55
Gallery Pl-Chinatown,East Falls Church,3.7
Gallery Pl-Chinatown,Capitol South,2.25
Gallery Pl-Chinatown,Naylor Road,3.2
Gallery Pl-Chinatown,Van Dorn Street,4.6
Gallery Pl-Chinatown,Cleveland Park,2.35
Gallery Pl-Chinatown,Court House,2.5
Gallery Pl-Chinatown,Arlington Cemetery,2.3
Gallery Pl-Chinatown,Mt Vernon Sq 7th St-Convention Center,2.25
Gallery Pl-Chinatown,Pentagon,2.25
Gallery Pl-Chinatown,Branch Ave,4.1
Gallery Pl-Chinatown,Potomac Ave,2.25
Gallery Pl-Chinatown,Union Station,2.25
Gallery Pl-Chinatown,College Park-U of Md,4.05
Gallery Pl-Chinatown,Forest Glen,4.1
Gallery Pl-Chinatown,Anacostia,2.3
Gallery Pl-Chinatown,Vienna/Fairfax-GMU,5.6
Gallery Pl-Chinatown,Largo Town Center,4.55
Gallery Pl-Chinatown,U Street/African-Amer Civil War Memorial/Cardozo,2.25
Gallery Pl-Chinatown,Glenmont,5.05
Gallery Pl-Chinatown,Franconia-Springfield,5.55
Gallery Pl-Chinatown,L'Enfant Plaza,2.25
Gallery Pl-Chinatown,Navy Yard-Ballpark,2.25
Gallery Pl-Chinatown,Clarendon,2.65
Gallery Pl-Chinatown,Greenbelt,4.7
Gallery Pl-Chinatown,NoMa-Gallaudet U,2.25
Gallery Pl-Chinatown,McLean,4.8
Gallery Pl-Chinatown,Woodley Park-Zoo/Adams Morgan,2.25
Gallery Pl-Chinatown,Shaw-Howard U,2.25
Gallery Pl-Chinatown,Federal Triangle,2.25
Gallery Pl-Chinatown,Tysons Corner,5.0
Gallery Pl-Chinatown,Federal Center SW,2.25
Gallery Pl-Chinatown,New Carrollton,4.35
Gallery Pl-Chinatown,Friendship Heights,3.15
Gallery Pl-Chinatown,Huntington,4.05
Gallery Pl-Chinatown,King St-Old Town,3.75
Gallery Pl-Chinatown,Crystal City,2.55
Gallery Pl-Chinatown,White Flint,4.95
Gallery Pl-Chinatown,Takoma,3.25
Gallery Pl-Chinatown,Smithsonian,2.25
Gallery Pl-Chinatown,Bethesda,3.6
Gallery Pl-Chinatown,Shady Grove,6.0
Gallery Pl-Chinatown,Prince George's Plaza,3.5
Gallery Pl-Chinatown,Dunn Loring-Merrifield,4.9
Gallery Pl-Chinatown,Judiciary Square,2.25
Gallery Pl-Chinatown,Stadium-Armory,2.3
Gallery Pl-Chinatown,Brookland-CUA,2.35
Gallery Pl-Chinatown,Eastern Market,2.25
Gallery Pl-Chinatown,Van Ness-UDC,2.55
Gallery Pl-Chinatown,Capitol Heights,3.45
Gallery Pl-Chinatown,Rockville,5.8
Gallery Pl-Chinatown,Greensboro,5.2
Gallery Pl-Chinatown,Rhode Island Ave-Brentwood,2.25
Gallery Pl-Chinatown,Fort Totten,2.7
Gallery Pl-Chinatown,West Falls Church-VT/UVA,4.25
Gallery Pl-Chinatown,Columbia Heights,2.25
Gallery Pl-Chinatown,Suitland,3.6
Gallery Pl-Chinatown,Eisenhower Avenue,3.9
Gallery Pl-Chinatown,Foggy Bottom-GWU,2.25
Gallery Pl-Chinatown,Ballston-MU,3.0
Gallery Pl-Chinatown,Pentagon City,2.45
Gallery Pl-Chinatown,Metro Center,2.25
Gallery Pl-Chinatown,Morgan Boulevard,4.15
Gallery Pl-Chinatown,Wheaton,4.55
Gallery Pl-Chinatown,Virginia Square-GMU,2.8
Gallery Pl-Chinatown,Addison Road-Seat Pleasant,3.75
Gallery Pl-Chinatown,Tenleytown-AU,2.9
Gallery Pl-Chinatown,Deanwood,3.15
Gallery Pl-Chinatown,Medical Center,3.9
Gallery Pl-Chinatown,Georgia Ave-Petworth,2.25
Gallery Pl-Chinatown,Dupont Circle,2.25
Gallery Pl-Chinatown,McPherson Square,2.25
Gallery Pl-Chinatown,Landover,3.95
Gallery Pl-Chinatown,Spring Hill,5.35
Gallery Pl-Chinatown,Ronald Reagan Washington National Airport,2.65
Gallery Pl-Chinatown,Benning Road,3.0
Gallery Pl-Chinatown,Farragut West,2.25
Gallery Pl-Chinatown,Twinbrook,5.25
Gallery Pl-Chinatown,Wiehle-Reston East,6.0
Gallery Pl-Chinatown,Cheverly,3.45
Brookland-CUA,Silver Spring,2.8
Brookland-CUA,Rosslyn,3.15
Brookland-CUA,Farragut North,2.55
