ENTDATESERVICETYPE,ENTDATEDAYOFWEEK,ENTSTATION,EXTSTATION,ENTPERIOD,ENTQUARTHOUR,AVG_TRIPS,congestion_level,old_cost,new_cost
Weekday,Fri,Twinbrook,Shady Grove,PM Peak,6:45 PM to 7:00 PM,6,1.0,,
Weekday,Tue,Federal Triangle,King St-Old Town,Evening,8:00 PM to 8:15 PM,4,1.0,,
Weekday,Tue,Farragut North,Rockville,PM Peak,6:45 PM to 7:00 PM,15,2.0,,
Weekday,Tue,Pentagon City,Ronald Reagan Washington National Airport,AM Peak,6:15 AM to 6:30 AM,3,1.0,,
Weekday,Tue,Dupont Circle,Metro Center,Midday,10:30 AM to 10:45 AM,15,2.0,,
Weekday,Wed,Ronald Reagan Washington National Airport,King St-Old Town,PM Peak,3:00 PM to 3:15 PM,3,1.0,,
Weekday,Wed,Union Station,Tenleytown-AU,Midday,10:00 AM to 10:15 AM,3,1.0,,
Weekday,Tue,Crystal City,Metro Center,PM Peak,5:30 PM to 5:45 PM,3,1.0,,
Saturday,Sat,McPherson Square,Union Station,Evening,7:15 PM to 7:30 PM,2,1.0,,
Weekday,Fri,Dupont Circle,Rockville,Late Night Peak,1:45 AM to 2:00 AM,1,1.0,,
Saturday Holiday,Mon,King St-Old Town,Farragut West,PM Peak,5:00 PM to 5:15 PM,4,1.0,,
Weekday,Fri,Capitol South,Fort Totten,Midday,2:30 PM to 2:45 PM,2,1.0,,
Weekday,Fri,Suitland,Virginia Square-GMU,AM Peak,8:00 AM to 8:15 AM,1,1.0,,
Weekday,Wed,West Falls Church-VT/UVA,Ronald Reagan Washington National Airport,Midday,9:30 AM to 9:45 AM,1,1.0,,
Weekday,Wed,Smithsonian,Court House,PM Peak,4:30 PM to 4:45 PM,9,1.0,,
Weekday,Tue,Suitland,Rhode Island Ave-Brentwood,AM Peak,6:15 AM to 6:30 AM,2,1.0,,
Weekday,Fri,McPherson Square,McPherson Square,Midday,12:30 PM to 12:45 PM,1,1.0,,
Sunday,Sun,Stadium-Armory,Gallery Pl-Chinatown,PM Peak,6:30 PM to 6:45 PM,2,1.0,,
Saturday Holiday,Mon,Congress Heights,Fort Totten,AM Peak,6:45 AM to 7:00 AM,2,1.0,,
Weekday,Thu,Union Station,Dupont Circle,Evening,8:00 PM to 8:15 PM,19,2.0,,
Weekday,Tue,Ronald Reagan Washington National Airport,Court House,Evening,10:00 PM to 10:15 PM,1,1.0,,
Weekday,Fri,Largo Town Center,King St-Old Town,AM Peak,6:30 AM to 6:45 AM,2,1.0,,
Saturday,Sat,King St-Old Town,Union Station,Midday,12:15 PM to 12:30 PM,3,1.0,,
Saturday,Sat,Archives-Navy Memorial-Penn Quarter,Gallery Pl-Chinatown,PM Peak,6:45 PM to 7:00 PM,2,1.0,,
Weekday,Fri,White Flint,White Flint,Midday,12:15 PM to 12:30 PM,1,1.0,,
Weekday,Fri,Waterfront,Mt Vernon Sq 7th St-Convention Center,AM Peak,5:15 AM to 5:30 AM,1,1.0,,
Weekday,Wed,Wiehle-Reston East,Judiciary Square,AM Peak,6:45 AM to 7:00 AM,12,2.0,,
Weekday,Wed,King St-Old Town,Farragut West,AM Peak,6:30 AM to 6:45 AM,13,2.0,,
Weekday,Wed,Mt Vernon Sq 7th St-Convention Center,L'Enfant Plaza,AM Peak,7:45 AM to 8:00 AM,12,2.0,,
Weekday,Wed,Smithsonian,Morgan Boulevard,PM Peak,4:30 PM to 4:45 PM,8,1.0,,
Weekday,Wed,Wiehle-Reston East,Dupont Circle,Evening,8:30 PM to 8:45 PM,3,1.0,,
Weekday,Wed,Suitland,Archives-Navy Memorial-Penn Quarter,PM Peak,3:30 PM to 3:45 PM,2,1.0,,
Saturday,Sat,Braddock Road,Columbia Heights,PM Peak,4:45 PM to 5:00 PM,3,1.0,,
Sunday,Sun,Rosslyn,East Falls Church,Midday,10:30 AM to 10:45 AM,7,1.0,,
Weekday,Wed,Dupont Circle,White Flint,AM Peak,7:30 AM to 7:45 AM,5,1.0,,
Weekday,Wed,Union Station,Franconia-Springfield,Midday,1:30 PM to 1:45 PM,3,1.0,,
Weekday,Wed,Federal Triangle,Silver Spring,PM Peak,6:30 PM to 6:45 PM,6,1.0,,
Weekday,Wed,Judiciary Square,Grosvenor-Strathmore,Midday,11:00 AM to 11:15 AM,3,1.0,,
Weekday,Mon,Metro Center,Greenbelt,Midday,12:45 PM to 1:00 PM,1,1.0,,
Weekday,Mon,Rhode Island Ave-Brentwood,Crystal City,Midday,12:00 PM to 12:15 PM,2,1.0,,
Weekday,Thu,New Carrollton,Judiciary Square,Midday,9:30 AM to 9:45 AM,1,1.0,,
Sunday,Sun,Ronald Reagan Washington National Airport,Wheaton,Evening,10:45 PM to 11:00 PM,1,1.0,,
Weekday,Tue,Stadium-Armory,Crystal City,AM Peak,7:15 AM to 7:30 AM,4,1.0,,
Weekday,Tue,Rosslyn,Tysons Corner,Evening,7:00 PM to 7:15 PM,2,1.0,,
Weekday,Wed,Rhode Island Ave-Brentwood,Gallery Pl-Chinatown,AM Peak,6:45 AM to 7:00 AM,3,1.0,,
